List,Task Name,Task Description,Status,Assignee,Responsable sugerido,Priority,Start Date,Due Date,Tags,Time Estimate (h),Escenario Make,Tipo,Bloqueado por
4. FLUJO EMPRESAS,Construir E-1) Promoción inicial Empresas,"Reutilizar los patrones ya validados: Router con fallback para contacto o correo faltante, validación de formato de correo con regex, envío individual por contacto e Iterator, Aggregator antes de marcar como enviado.",to do,sistemas@encuentromundialdevalores.org,Ethan (Sistemas),High,2026-09-02,2026-09-09,"empresas,automatización",10,E-1,Automatización,
4. FLUJO EMPRESAS,Construir escenarios de seguimiento e inactividad Empresas,"Equivalentes a A-2.1 y A-2.2, con los plazos que defina el equipo para empresas (pueden ser distintos a los 5 y 20 días de asociaciones).",to do,sistemas@encuentromundialdevalores.org,Ethan (Sistemas),Normal,2026-09-09,2026-09-16,"empresas,automatización",8,E-2,Automatización,
4. FLUJO EMPRESAS,Construir Bloque 8: Recordatorios y Feedback,"Pendiente explícito por definir con el equipo: qué significa exactamente vincular el feedback de las empresas. Aclarar si debe reflejarse en el registro de la asociación del evento, alimentar un reporte conjunto, o ambos, antes de construir.",to do,,Equipo Voluntariado + Ethan,Normal,2026-09-16,2026-09-23,"empresas,feedback,definir",8,E-6,Diseño,
4. FLUJO EMPRESAS,Pruebas end-to-end del flujo Empresas con casos de falla,"Repetir la misma metodología usada en Asociaciones: casos de camino feliz más casos de falla deliberados (sin contacto, correo inválido, IDs inexistentes, reenvíos), documentando cada hallazgo y su fix.",to do,sistemas@encuentromundialdevalores.org,Ethan (Sistemas),High,2026-09-23,2026-09-30,"empresas,pruebas",12,,Pruebas,
5. LEGAL Y SEGUROS,"Revisión legal de convenios, deslinde y aviso de privacidad","Un abogado en Nuevo León debe revisar una sola vez los tres formatos (convenio con asociación, convenio con empresa, carta de deslinde del voluntario) más el aviso de privacidad. Después ya sólo se reutilizan.",to do,,Dirección EZER,Urgent,2026-07-29,2026-08-12,"legal,externo",4,,Legal,
5. LEGAL Y SEGUROS,Cotizar seguro por evento con 2-3 agentes en Monterrey,Paquete de Accidentes Personales colectivo temporal más Responsabilidad Civil de evento. Definir sumas aseguradas y número aproximado de voluntarios y beneficiarios antes de pedir cotización.,to do,voluntariadocorporativo@ezer.org.mx,Equipo Voluntariado,High,2026-08-03,2026-08-17,"seguros,externo",6,,Legal,
5. LEGAL Y SEGUROS,Confirmar si la póliza corporativa de las empresas ya cubre voluntarios,Muchas empresas grandes ya cubren a sus colaboradores en actividades externas. Confirmarlo puede ahorrar el seguro de voluntarios por evento. Preguntar a cada empresa aliada antes de contratar.,to do,voluntariadocorporativo@ezer.org.mx,Equipo Voluntariado,Normal,2026-08-10,2026-08-19,"seguros,empresas",4,,Legal,
5. LEGAL Y SEGUROS,Integrar carta de deslinde en el flujo de Voluntario,"Cuando se construya la etapa de Voluntario, definir el mecanismo: firma en papel el día del evento, formulario digital previo, o firma electrónica. Depende de la revisión legal previa.",to do,sistemas@encuentromundialdevalores.org,Ethan (Sistemas),Low,2026-09-30,2026-10-07,"voluntario,legal,diseño",6,,Diseño,
6. EVENTO OCTUBRE 2026,"Definir fecha, sede y aforo del evento de octubre","Dato base que bloquea varias tareas: el contenido de la página, la cotización del seguro y la logística dependen de esto.",to do,voluntariadocorporativo@ezer.org.mx,Equipo Voluntariado,Urgent,2026-07-29,2026-08-03,"evento,definir",3,,Evento,
6. EVENTO OCTUBRE 2026,Revisar y aprobar el contenido de la página del evento,"Validar textos, imágenes, fechas y datos de contacto de la landing construida con IA antes de publicarla.",to do,voluntariadocorporativo@ezer.org.mx,Equipo Voluntariado,High,2026-08-03,2026-08-10,"evento,web",4,,Evento,
6. EVENTO OCTUBRE 2026,Publicar la página del evento,Desplegar la landing en producción y verificar que se vea bien en celular y computadora.,to do,sistemas@encuentromundialdevalores.org,Ethan (Sistemas),High,2026-08-10,2026-08-12,"evento,web,deploy",4,,Evento,
6. EVENTO OCTUBRE 2026,Conectar el registro de la página a Airtable,"Que los registros de la landing lleguen automáticamente a Airtable para no capturarlos a mano, reutilizando el patrón de los endpoints que ya existen en el sitio.",to do,sistemas@encuentromundialdevalores.org,Ethan (Sistemas),High,2026-08-12,2026-08-19,"evento,web,automatización",6,,Automatización,
6. EVENTO OCTUBRE 2026,Contratar el seguro del evento de octubre,"Cerrar la póliza con el agente elegido al menos 2 semanas antes del evento, con el número final de voluntarios y beneficiarios confirmado.",to do,voluntariadocorporativo@ezer.org.mx,Equipo Voluntariado,Urgent,2026-09-14,2026-09-28,"evento,seguros",3,,Legal,
