List,Task Name,Task Description,Status,Assignee,Priority,Start Date,Due Date,Tags,Time Estimate (h),Escenario Make,Tipo,Sprint,Bloqueado por
4. Flujo Empresas,S0-1) Presentar plan v2 a Direccion y acordar nueva fecha,"El transcript del video cambio el orden del flujo y agrego el motor de match; la skill de Make reduce el esfuerzo 23%. Neto: la fecha pasa del 28-feb al 14-mar-2027 y el plan crece de 13 a 14 sprints. Presentar el cambio de alcance (C-1 a C-8) y el recalculo (D-010) de la bitacora, y acordar fecha o recorte.",Por hacer,,Urgent,2026-08-26,2026-08-30,"empresas,gestion,cliente",0.5,,Gestion,S0,
4. Flujo Empresas,S0-2) Cerrar decisiones tecnicas abiertas,"Resueltas el 28-ago: D-001 a D-009 en bitacora-decisiones-empresas.md. Quedan 2 pendientes menores: si una asociacion puede atender mas de una empresa a la vez, y quien toma las fotos y donde se suben.",En progreso,sistemas@encuentromundialdevalores.org,Urgent,2026-08-26,2026-08-30,"empresas,decision",0.5,,Diseno,S0,
4. Flujo Empresas,S0-3) Verificar planes activos de las 4 herramientas,"HECHO 28-ago. Calendly Standard OK. Make Core 3000/14000 ops. Fillout Free permite subir archivos. Airtable en plan FREE, no Team: el panel se rediseno como panel compartido (D-005).",Listo,sistemas@encuentromundialdevalores.org,High,2026-08-26,2026-08-30,configuracion,0.5,,Configuracion,S0,
2. Airtable y Drive — Config y Limpieza,S0-4) Compartir carpeta raiz de Drive con el equipo,HECHO 28-ago. Compartida como Editor con voluntariadocorporativo@ezer.org.mx y sistemas@encuentromundialdevalores.org.,Listo,sistemas@encuentromundialdevalores.org,Urgent,2026-08-26,2026-08-30,"drive,permisos",0.25,,Configuracion,S0,
4. Flujo Empresas,S0-5) Importar el CSV v2 a ClickUp y armar el dashboard,"Crear el campo personalizado Sprint (dropdown S0 a S13), la vista Board agrupada por Sprint, el dashboard con 4 widgets y el link publico de solo lectura para el cliente.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-08-26,2026-08-30,"gestion,clickup",0.75,,Gestion,S0,
4. Flujo Empresas,S0-6) Bloquear las sesiones de trabajo en el calendario,"HECHO 28-ago. Miercoles 17-19, viernes 16-19, sabado 17-19 = 7 h/semana. PENDIENTE MENOR: borrar las ocurrencias del receso, 21 dic a 3 ene.",Listo,sistemas@encuentromundialdevalores.org,High,2026-08-26,2026-08-30,gestion,0.25,,Gestion,S0,
4. Flujo Empresas,S0-7) Definir quien toma las fotos del evento y donde se suben,"Pendiente que el propio video deja abierto. Necesario antes del Sprint 14. Definir: quien fotografia, con que equipo, y si suben a la carpeta de Drive del evento o a otro lado.",Por hacer,voluntariadocorporativo@ezer.org.mx,Normal,2026-08-26,2026-08-30,"empresas,definir",0.25,,Diseno,S0,
1. Asociaciones — Cierre de Pruebas,S1-1) Probar A-3 Reunion agendada end-to-end,"Agendar una reunion real en Calendly. Verificar las 3 rutas del Router: contacto existente con organizacion, sin organizacion, y contacto nuevo. Confirmar el deep-link con record_id y contacto_id y la tarea de Google Tasks.",Por hacer,sistemas@encuentromundialdevalores.org,Urgent,2026-08-31,2026-09-13,"asociaciones,pruebas,bloqueante,sesion-viernes",3.0,A-3,Pruebas,S1,
1. Asociaciones — Cierre de Pruebas,S1-2) Re-probar caso A4-4 contacto_id vacio,Formulario con record_id valido pero contacto_id vacio. El Update Record de Contactos no debe tronar: debe saltar el modulo y avisar internamente.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-08-31,2026-09-13,"asociaciones,pruebas",1.0,A-4,Pruebas,S1,
1. Asociaciones — Cierre de Pruebas,S1-3) Re-probar caso A4-5 idempotencia del reenvio,"Reenviar el mismo record_id dos veces. Si duplica carpeta o Convenio, agregar el filtro: si Convenio Doc ID no esta vacio, no crear. Es el patron que reusa el Bloque 3 de Empresas.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-08-31,2026-09-13,"asociaciones,pruebas,idempotencia",1.5,A-4,Pruebas,S1,
1. Asociaciones — Cierre de Pruebas,S1-4) Aplicar patron multi-contacto a A-2.1,"Reemplazar el rollup de correo directo por el patron de A-1: Search Records sobre Contactos, Iterator, envio individual y Aggregator antes de marcar la casilla. Probar con 2 contactos y con 0.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-08-31,2026-09-13,"asociaciones,mejora,riesgo,sesion-viernes",3.0,A-2.1,Mejora,S1,
2. Airtable y Drive — Config y Limpieza,S1-5) Agregar campo Convenio firmado a la vista de interfaz,"La vista Revision de Convenios no muestra la casilla Convenio firmado, necesaria para disparar A-6. Agregarla y publicar.",Por hacer,sistemas@encuentromundialdevalores.org,Normal,2026-08-31,2026-09-13,"airtable,interfaz",1.0,A-6,Configuracion,S1,
1. Asociaciones — Cierre de Pruebas,S1-6) Cerrar el reporte de pruebas de Asociaciones,Marcar el reporte como version final y cerrar las tareas de la lista 1.,Por hacer,sistemas@encuentromundialdevalores.org,Normal,2026-08-31,2026-09-13,"asociaciones,documentacion",0.5,,Documentacion,S1,
4. Flujo Empresas,S2-1) Crear escenario E-1 y webhook en Make,"Nuevo escenario, modulo Webhooks Custom webhook. Copiar la URL y compararla contra api/interest.js. Filtro tipo = registro_empresa justo despues del trigger.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-14,2026-09-27,empresas,1.0,E-1,Automatizacion,S2,
4. Flujo Empresas,S2-2) Busqueda y Router de duplicados,Search Records en Organizaciones por correo. Router existe / no existe. Rama no existe: Create Record en Organizaciones (Tipo=Empresa) mas Create Record en Contactos vinculado. Rama existe: Update. Normalizar a minusculas y trim antes del Search.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-14,2026-09-27,empresas,2.0,E-1,Automatizacion,S2,
