List,Task Name,Task Description,Status,Assignee,Priority,Start Date,Due Date,Tags,Time Estimate (h),Escenario Make,Tipo,Sprint,Bloqueado por
2. Airtable y Drive — Config y Limpieza,S0-4) Compartir carpeta raiz de Drive con el equipo,HECHO 28-ago. Compartida como Editor con voluntariadocorporativo@ezer.org.mx y sistemas@encuentromundialdevalores.org.,complete,sistemas@encuentromundialdevalores.org,Urgent,2026-08-26,2026-08-30,"drive,permisos",0.25,,Configuracion,S0,
2. Airtable y Drive — Config y Limpieza,S7-6) Normalizar los campos de cruce en ambas tablas,"Para que el cruce funcione, las opciones deben ser identicas en Organizaciones y en Eventos. Revisar Municipio, Sector de apoyo vs Beneficiarios de interes, Meses disponibles vs Fechas posibles, y Voluntarios que puede recibir vs Numero de voluntarios. Alinear valores y documentar el mapeo.",to do,sistemas@encuentromundialdevalores.org,Urgent,2026-11-23,2026-12-06,"empresas,airtable,match,sesion-viernes",1.25,E-11,Configuracion,S7,
4. Flujo Empresas,S8-1) Construir el script de puntuacion,"Script de Airtable (Scripting) o escenario de Make que recorre las asociaciones candidatas, calcula la puntuacion de cada variable y el total, y escribe el resultado ordenado. Debe devolver el desglose por variable, no solo el porcentaje: es lo que alimenta el semaforo.",to do,sistemas@encuentromundialdevalores.org,High,2026-12-07,2026-12-20,"empresas,sesion-viernes",2.0,E-11,Automatizacion,S8,
4. Flujo Empresas,S8-2) Pruebas de la formula con datos reales,"Sembrar 5 asociaciones con perfiles distintos y una empresa, y verificar a mano que los porcentajes son los esperados. Casos limite: ninguna asociacion supera el umbral; empate de porcentajes; asociacion que coincide en todo menos fechas (el ejemplo del video).",to do,sistemas@encuentromundialdevalores.org,High,2026-12-07,2026-12-20,empresas,1.0,E-11,Pruebas,S8,
4. Flujo Empresas,S8-3) Construir la interfaz de busqueda de empresa,"Pagina de Airtable donde se escribe el nombre de la empresa y se muestran sus datos de match: municipio, numero de voluntarios, beneficiarios y fechas. Es la pantalla que describe el video.",to do,sistemas@encuentromundialdevalores.org,High,2026-12-07,2026-12-20,"empresas,sesion-viernes",1.25,E-11,Configuracion,S8,
4. Flujo Empresas,S8-4) Agregar el boton Busca que asociacion hace match,Boton que dispara el script del Sprint 9 y muestra el ranking de resultados en la misma pantalla.,to do,sistemas@encuentromundialdevalores.org,High,2026-12-07,2026-12-20,empresas,1.75,E-11,Configuracion,S8,
4. Flujo Empresas,S8-5) Construir el semaforo por variable,"Cada asociacion del ranking muestra su porcentaje total y el desglose de las 4 variables en verde o rojo. Es lo que hace el resultado explicable: sin el desglose, el porcentaje es un numero sin argumento.",to do,sistemas@encuentromundialdevalores.org,High,2026-12-07,2026-12-20,"empresas,sesion-viernes",2.75,E-11,Configuracion,S8,
4. Flujo Empresas,S9-1) Pruebas de la interfaz completa,"Recorrido de buscar empresa, correr el match y leer el ranking, con al menos 3 empresas distintas. Verificar que el semaforo corresponde a la formula y que el orden del ranking es correcto.",to do,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,"empresas,sesion-viernes",2.25,E-11,Pruebas,S9,
4. Flujo Empresas,S9-2) Generar el reporte de opciones para la empresa,"DECISION del 28-ago: EZER revisa el ranking y manda un correo con las 2-3 mejores opciones, cada una con su porcentaje y su desglose. El equipo filtra antes de mostrar: no se le manda el ranking crudo a la empresa.",to do,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,"empresas,sesion-viernes",1.5,E-12,Automatizacion,S9,
4. Flujo Empresas,S9-3) Botones de eleccion en el correo,Cada opcion del reporte lleva un boton para elegirla. Al picarlo se liga la asociacion al evento en Airtable y se avisa a EZER. Es un clic para la empresa.,to do,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,"empresas,sesion-viernes",1.5,E-12,Automatizacion,S9,
