List,Task Name,Task Description,Status,Assignee,Responsable sugerido,Priority,Start Date,Due Date,Tags,Time Estimate (h),Escenario Make,Tipo,Bloqueado por
"1. Asociaciones — Cierre de Pruebas","A-1) Envío de Correos Asociaciones (Nuevas)","Escenario de promoción inicial. Envía el catálogo/flyer a cada asociación nueva. Probados 7 casos (A-0 a A-6): sin contacto, contacto sin correo, múltiples contactos, correo con formato inválido y caso mixto. Incluye Router con alerta interna y Iterator para envío individual por contacto.","Listo","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-07-21","2026-07-25","automatización,asociaciones,probado","12","A-1","Automatización",""
"1. Asociaciones — Cierre de Pruebas","A-2.1) Envío de Correos Asociaciones (Seguimiento 5 días)","Recordatorio automático a los 5 días si la asociación no respondió. Probados 5 casos (límites de 4 y 5 días, seguimiento ya enviado, sin promoción previa, contacto sin correo). Se agregó Router con alerta interna al equipo.","Listo","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-07-27","2026-07-27","automatización,asociaciones,probado","4","A-2.1","Automatización",""
"1. Asociaciones — Cierre de Pruebas","A-2.2) Cambio de Estatus Asociaciones (Inactivas 20 días)","Marca como Inactiva a los 20 días sin respuesta y notifica al equipo. Probados 5 casos. Se decidió que dependa de que el seguimiento de 5 días sí se haya enviado. Se agregó el correo interno de aviso que no existía.","Listo","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","Normal","2026-07-27","2026-07-27","automatización,asociaciones,probado","3","A-2.2","Automatización",""
"1. Asociaciones — Cierre de Pruebas","A-4) Captura de Datos (Asociaciones)","Formulario post-reunión que guarda datos en Airtable, crea la carpeta de Drive y genera el Convenio editable. Incidente resuelto: un record_id inválido apagaba el escenario completo; se agregó validación previa con Search Records + Router + alerta interna.","Listo","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-07-27","2026-07-28","automatización,asociaciones,probado","8","A-4","Automatización",""
"1. Asociaciones — Cierre de Pruebas","A-5) Envío de Convenio (Asociaciones)","Convierte el Convenio a PDF, lo sube a Drive y lo envía a la asociación. Probados 4 casos. Se agregó Router para datos incompletos (falta Doc ID o carpeta) con alerta interna.","Listo","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-07-27","2026-07-28","automatización,asociaciones,probado","6","A-5","Automatización",""
"1. Asociaciones — Cierre de Pruebas","A-6) Activar Asociaciones","Activa formalmente a la asociación cuando regresa el Convenio firmado y le confirma por correo. Probados 4 casos. Se agregó Router para el caso sin correo (la asociación se activa igual pero se avisa al equipo).","Listo","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","Normal","2026-07-27","2026-07-28","automatización,asociaciones,probado","4","A-6","Automatización",""
"1. Asociaciones — Cierre de Pruebas","Resolver plan de Calendly (upgrade a Standard)","Bloqueante. Make no puede crear la conexión con Calendly porque la cuenta requiere plan Standard (error 403). Sin esto, el escenario A-3 (Reunión Agendada) no se puede probar en vivo. Revisar facturación y costo mensual del plan.","Bloqueado","","Dirección EZER","Urgent","2026-07-29","2026-07-31","calendly,bloqueante,facturación","2","A-3","Configuración","Plan de Calendly"
"1. Asociaciones — Cierre de Pruebas","Probar escenario A-3 (Reunión Agendada) end-to-end","Único escenario del flujo de Asociaciones sin probar. Requiere agendar una reunión real en Calendly y verificar las 3 rutas del Router (contacto existente con organización, sin organización, y contacto nuevo), además del deep-link al formulario con record_id y contacto_id.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-08-03","2026-08-05","automatización,asociaciones,pruebas","5","A-3","Automatización","Plan de Calendly"
"1. Asociaciones — Cierre de Pruebas","Re-probar caso A4-4 (contacto_id vacío)","Quedó sin procesar en la cola cuando Make desactivó el escenario. Enviar el formulario con record_id válido pero sin contacto_id y confirmar que no truena el Update Record de Contactos.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","Normal","2026-07-30","2026-07-31","pruebas,asociaciones","2","A-4","Pruebas",""
"1. Asociaciones — Cierre de Pruebas","Re-probar caso A4-5 (reenvío del mismo formulario)","Verificar si reenviar el mismo record_id duplica la carpeta de Drive y el Convenio. Si se confirma el duplicado, agregar filtro: si ya existe Convenio Doc ID, no volver a crear carpeta ni documento.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","Normal","2026-07-30","2026-07-31","pruebas,asociaciones,idempotencia","3","A-4","Pruebas",""
